variant,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_scene_normalized_error,mean_matched_euclidean_error,delta_anchor_f1_vs_full,delta_margin_f1_at_1_vs_full
no_gaze_hand,scene:scene4_room1,200,199,1,0.995,0.04046242774566474,0.017326732673267328,0.024263431542461005,0.0,0.0,0.0,0.007237635705669481,1.5038439351223951,10.529679504160688,-0.5230253452545126,-0.37988826815642457
no_gaze_hand,scene:scene4_room2,200,200,0,1.0,0.03937007874015748,0.013192612137203167,0.019762845849802372,0.0,0.0,0.0,0.01854714064914992,1.2743130683010861,9.364856651705168,-0.31016042780748665,-0.09761904761904762
no_gaze_hand,scene:scene4_room3,200,200,0,1.0,0.11386138613861387,0.06036745406824147,0.07890222984562607,0.0,0.0,0.0,0.0,0.9245857455062958,5.698024601049662,-0.568228417285021,-0.3626943005181347
no_gaze_hand,scene:scene4_room4,200,200,0,1.0,0.012121212121212121,0.005025125628140704,0.007104795737122559,0.0,0.0,0.0,0.0,1.0916046746654362,8.64829246182345,-0.42146663283430597,-0.26025791324736225
no_gaze_hand,scene:scene5,800,800,0,1.0,0.15668789808917197,0.07231040564373897,0.09895414320193081,0.0,0.0,0.0,0.0050200803212851405,0.3672026289544762,21.03195212956397,-0.38706981572562194,-0.35212316861186993
no_instruction,overall,4000,4000,0,1.0,0.4250678241996744,0.4416009019165727,0.43317666574509256,0.01775,0.1137464675010093,0.2510092854259185,0.4110819539765846,0.15652102641731339,7.613471520758321,0.0005584496577262787,0.0007184259995438591
no_instruction,single_target,930,930,0,1.0,0.3212646608873024,0.6774193548387096,0.4358353510895884,0.001075268817204301,0.10263844592635545,0.2244128732966077,0.36532328211075676,0.09088321984241353,4.342941589398535,-0.0002757600215227418,0.000380286738562885
no_instruction,multi_target,3070,3070,0,1.0,0.45312930796801765,0.41397984886649875,0.43267079110175066,0.02280130293159609,0.11608724873220504,0.25661391825013746,0.42072462882629674,0.16508488165225402,8.041064050527535,0.000716176681274383,0.0007971168785969041
no_instruction,scene:scene1,800,800,0,1.0,0.4325353645266594,0.4789156626506024,0.4545454545454546,0.01125,0.09722222222222222,0.24503968253968259,0.39583333333333326,0.15909359835733614,19.202996406893448,5.2037258677251064e-05,0.00025318800145021636
no_instruction,scene:scene2,800,800,0,1.0,0.2768746722600944,0.25372417107160017,0.26479438314944825,0.00625,0.010702991972756018,0.047190464607151546,0.16589637557771827,0.2073187305727179,2.8514222247105385,-0.0004295725626806135,-0.0001612561641445298
no_instruction,scene:scene3,800,800,0,1.0,0.47053045186640474,0.5133976420150054,0.4910302409021015,0.0175,0.1254901960784314,0.3362745098039216,0.5558823529411765,0.11980537907083884,8.254562414410135,0.0022213908892381173,0.002613092481086987
no_instruction,scene:scene4_room1,200,200,0,1.0,0.558974358974359,0.5396039603960396,0.54911838790932,0.04,0.17857142857142855,0.38169642857142855,0.5602678571428571,0.14916923714397004,1.0606682620358228,0.0018296111123463632,0.0018081604150039787
no_instruction,scene:scene4_room2,200,200,0,1.0,0.3200992555831266,0.3403693931398417,0.329923273657289,0.025,0.02142857142857143,0.09761904761904762,0.2595238095238095,0.3491427940560717,2.9974293309378868,0.0,0.0
no_instruction,scene:scene4_room3,200,200,0,1.0,0.6022727272727273,0.6955380577427821,0.6455542021924482,0.035,0.16339193381592554,0.36194415718717676,0.5356773526370217,0.13591099087211955,0.8503194777330048,-0.0015764449381989731,-0.0007501433309579641
no_instruction,scene:scene4_room4,200,200,0,1.0,0.43523316062176165,0.4221105527638191,0.42857142857142855,0.015,0.07033997655334116,0.26025791324736225,0.4337631887456037,0.16240352159796764,1.3033213040644238,0.0,0.0
no_instruction,scene:scene5,800,800,0,1.0,0.4716253443526171,0.503233392122281,0.4869169510807736,0.025,0.2254149120634134,0.35273718107505575,0.4934357195937577,0.10422425435450362,5.986713382987491,0.0008929921532208618,0.0006140124631858201
